Show name,Timecoder,Id,ShowType,Number
Justin Trottier and the CCMF – Pussycat Cast 9,Esbeyde,KBNlY-zUB4o,Pussycat,9
Stealthing – Rape by another name – Pussycat Cast 10,Esbeyde,eVacjIamReA,Pussycat,10
Don't support the Duluth model – Pussycat Cast 11,Esbeyde,Zxu_vJGMxns,Pussycat,11
Feminism kills sperm dead – Pussycat Cast 12,Esbeyde,lzqqghTyl9g,Pussycat,12
MRAs and feeling up the phallus – Rantzerker 82,Esbeyde,5X60-rexDHc,Rantzerker,82
Red Pill protests in Sydney – Rantzerker 83,Esbeyde,b5XVVe_PloQ,Rantzerker,83
Muslims don't kill people  men kill people – Rantzerker 84,Esbeyde,V338NQCmlU8,Rantzerker,84
Responding to Laci Green – Rantzerker Special,Esbeyde,I8-PLlZ2W-A,Rantzerker,LaciGreen
Rational Resistance to feminism is futile – TL;DR Rantzerker 85,Esbeyde,XR45Qb-4BGo,Rantzerker,85
Winco's women woes – Rantzerker 86,Esbeyde,BWmNHmPEL7o,Rantzerker,86
No you Di'nt – Rantzerker 87 with TL;DR,Esbeyde,Hu8XklGrCSU,Rantzerker,87
Youtube consoring wrongthink – Rant 88,Esbeyde,wOWRRWwt6H0,Rantzerker,88
Google will save your soul – Rant 89,Esbeyde,wut4JoeKEbE,Rantzerker,89
Polecat Cast 112 – The death and resurrection of Pepe,Vharaun,1R8rcEgSI9g,Polecat,112
Miss USA the terrible terrible equalist – Polecat Cast 113,Vharaun,cE2mvqZWLFA,Polecat,113
Manchester bombed women most affected – Polecat Cast 114,Vharaun,iqBPVcBPUok,Polecat,114
Scaring sons into suicide - Polecat Cast 115,Vharaun,WGZk-RurARc,Polecat,115
Born without a gender – Polecat Cast 116,Vharaun,2WGv_q5WOwA,Polecat,116
Southpark on Trump  CNN on gamergate - Polecat Cast 117,Vharaun,uwRg69zy1Eg,Polecat,117
Chicago VS Milo  an emmy for sex junk and Ms. Dr. Who - Polecat Cast 118,Vharaun,_3m99S7JkWI,Polecat,118
Rosie Odonnells Trump game Anita keynotes rapist sues victim - Polecat Cast 119,Vharaun,6VU2dGa-y48,Polecat,119
Southern VS Patreon court acquits man in rape case - Polecat Cast 120,Vharaun,BNiza29rIW0,Polecat,120
Title IX cant catch a break US laws is islamophobic Geek Girl Con - Polecat Cast 121,Vharaun,vitfL5EIBP0,Polecat,121
Talking #MakeMineMilkShake and the comics industry with several guests,Esbeyde,fmBnWVKmptA,Fireside,MilkShake
Anita bullis Boogie Sargon VidCon says sorry Anita – HBRTalk with Hannah Wallen,Vharaun,_fvJABZU1_Y,HBRTalk,1
Trump  sex. lies and legislature on college campuses – HBR Talk 2 with Hannah Wallen,Esbeyde,p3Lw5n49XK8,HBRTalk,2
Sarkeesian  Sulkiwicz and Quinn favorite tactics in Jeopardy – HBR Talk 4 with Hannah Wallen,Esbeyde,OKJp2FGjoQc,HBRTalk,4
Female violence  society's blind spot – Badger Talk 5,Esbeyde,-YqViEiHc3Y,HBRTalk,5
Fireside Chat 57 Talking Phillip Davies with the Liberty Belles pt 2,Esbeyde,59I-NsSat2A,Fireside,57
Jeff Holiday – Fireside Chat 58,Esbeyde,P4x2tYePqSE,Fireside,58
Aydin Palladin – Fireside Chat 59,Esbeyde,tOBLuA9Pp8w,Fireside,59
Talking about the Red Pill with feminist Brittany Simon – Fireside Chat 60,Esbeyde,cPorc8-aZGU,Fireside,60
Fireside Chat 61 – RazorFist,Esbeyde,tpBU7ktWwGg,Fireside,61
Talking testicles with Mike Craycraft  founder of the Testicular Cancer Society,Esbeyde,C5o1bklnaU0,Fireside,TalkingTestes
Talking Crash Override  Betsy Devos and Lauren Southern with Ashe Schow,Esbeyde,RQse_BqWBvA,Fireside,AsheSchow
Dick and Cherry's show 4 Psulocybin – Leggo my ego(TM),Esbeyde,tqw0VxkyZdg,DickCherry,4
